id, label, timepoint, x, y, z, radius, parent_id,cell fate
47860,47861,0, 320.0, 455.0, 95.0, 10.0,-1,
47979,47980,0, 456.0, 456.0, 95.0, 10.0,-1,
48105,48106,0, 298.0, 458.0, 95.0, 10.0,-1,
48510,48511,0, 334.0, 463.0, 95.0, 10.0,-1,
48550,48551,0, 425.0, 464.0, 95.0, 10.0,-1,
48744,48745,0, 420.0, 233.0, 100.0, 10.0,-1,
48803,48804,0, 437.0, 233.0, 100.0, 10.0,-1,
49439,49440,0, 452.0, 235.0, 100.0, 10.0,-1,
49806,49807,0, 402.0, 236.0, 100.0, 10.0,-1,
50102,50103,0, 386.0, 239.0, 100.0, 10.0,-1,
50649,50650,0, 554.0, 240.0, 100.0, 10.0,-1,
50897,50898,0, 599.0, 250.0, 100.0, 10.0,-1,
51125,51126,0, 616.0, 258.0, 100.0, 10.0,-1,
51260,51261,0, 302.0, 262.0, 100.0, 10.0,-1,
51423,51424,0, 638.0, 262.0, 100.0, 10.0,-1,
51558,51559,0, 268.0, 266.0, 100.0, 10.0,-1,
51736,51737,0, 609.0, 272.0, 100.0, 10.0,-1,
51824,51825,0, 639.0, 280.0, 100.0, 10.0,-1,
51919,51920,0, 237.0, 283.0, 100.0, 10.0,-1,
52143,52144,0, 656.0, 284.0, 100.0, 10.0,-1,
52392,52393,0, 216.0, 291.0, 100.0, 10.0,-1,
52656,52657,0, 671.0, 294.0, 100.0, 10.0,-1,
52696,52697,0, 199.0, 296.0, 100.0, 10.0,-1,
53348,53349,0, 662.0, 304.0, 100.0, 10.0,-1,
53391,53392,0, 679.0, 312.0, 100.0, 10.0,-1,
53474,53475,0, 186.0, 323.0, 100.0, 10.0,-1,
53587,53588,0, 158.0, 337.0, 100.0, 10.0,-1,
53790,53791,0, 673.0, 340.0, 100.0, 10.0,-1,
53802,53803,0, 285.0, 341.0, 100.0, 10.0,-1,
53834,53835,0, 458.0, 343.0, 100.0, 10.0,-1,
53936,53937,0, 314.0, 346.0, 100.0, 10.0,-1,
53947,53948,0, 347.0, 349.0, 100.0, 10.0,-1,
53991,53992,0, 363.0, 350.0, 100.0, 10.0,-1,
54018,54019,0, 392.0, 350.0, 100.0, 10.0,-1,
54040,54041,0, 487.0, 353.0, 100.0, 10.0,-1,
54044,54045,0, 330.0, 354.0, 100.0, 10.0,-1,
54077,54078,0, 658.0, 355.0, 100.0, 10.0,-1,
54118,54119,0, 757.0, 360.0, 100.0, 10.0,-1,
54149,54150,0, 472.0, 362.0, 100.0, 10.0,-1,
54173,54174,0, 352.0, 365.0, 100.0, 10.0,-1,
54200,54201,0, 457.0, 372.0, 100.0, 10.0,-1,
54254,54255,0, 237.0, 373.0, 100.0, 10.0,-1,
54270,54271,0, 341.0, 373.0, 100.0, 10.0,-1,
54276,54277,0, 605.0, 374.0, 100.0, 10.0,-1,
54503,54504,0, 148.0, 377.0, 100.0, 10.0,-1,
54648,54649,0, 731.0, 382.0, 100.0, 10.0,-1,
